OID_,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_t,parent_sta
,1131S, ,Medalla Milagrosa, ,-34.636250121800003,-58.450398445200001,4, ,0,"1,131"
,1132S, ,Varela, ,-34.639566964300002,-58.457848280500002,4, ,0,"1,132"
,1133S, ,Plaza de los Virreyes, ,-34.642770031900000,-58.461445122999997,4, ,0,"1,133"
,1156, ,Larrazábal, ,-34.680602280199999,-58.465343408999999,0, ,1,0
,1157, ,Nicolas Descalzi, ,-34.682798871400003,-58.462343924700001,0, ,1,0
,1158, ,Gabino Ezeiza, ,-34.685968042799999,-58.458103459000000,0, ,1,0
,1159, ,General Savio, ,-34.689597318300002,-58.460816625800000,0, ,1,0
,1160, ,Córdoba, ,-34.598686142200002,-58.403805105000004,0, ,1,0
,1161, ,Santa Fe, ,-34.594856588900001,-58.402459654099999,0, ,1,0
,1162, ,Las Heras, ,-34.588062575400002,-58.398044794199997,0, ,1,0
,1059, ,San Pedrito, ,-34.630922591400001,-58.470433205500001,0, ,1,0
,1060, ,San José de Flores, ,-34.629054502000002,-58.463536343800001,0, ,1,0
,1061, ,Carabobo, ,-34.626422392700000,-58.456044495000000,0, ,1,0
,1062, ,Puán, ,-34.623571847100003,-58.448787778700002,0, ,1,0
,1063, ,Primera Junta, ,-34.620460192400003,-58.441400975000001,0, ,1,0
,1064, ,Acoyte, ,-34.618036012399998,-58.435862213400000,0, ,1,0
,1065, ,Río de Janeiro, ,-34.615111439400003,-58.429285879200002,0, ,1,0
,1066, ,Castro Barros, ,-34.611763606899999,-58.421728313000003,0, ,1,0
,1067, ,Loria, ,-34.610811060600000,-58.415152877499999,0, ,1,0
,1068, ,Plaza Miserere, ,-34.609687999999998,-58.406813889699997,0, ,1,0
,1069, ,Alberti, ,-34.609832012900000,-58.400719910900001,0, ,1,0
,1070, ,Pasco, ,-34.609664444400003,-58.398340314000002,0, ,1,0
,1071, ,Congreso, ,-34.609241486999998,-58.392670601500001,0, ,1,0
,1072, ,Sáenz Peña, ,-34.609416989400003,-58.386668153099997,0, ,1,0
,1073, ,Lima, ,-34.609105721500001,-58.382521122800000,0, ,1,0
,1074, ,Piedras, ,-34.608837932100002,-58.378502407699997,0, ,1,0
,1075, ,Perú, ,-34.608559343200000,-58.374563008400003,0, ,1,0
,1076, ,Plaza de Mayo, ,-34.608695109499997,-58.371493220300003,0, ,1,0
,1077, ,Juan Manuel de Rosas, ,-34.574011003999999,-58.486718237500000,0, ,1,0
,1078, ,Echeverría, ,-34.577998380399997,-58.480763733200000,0, ,1,0
,1079, ,De Los Incas - Parque Chas, ,-34.581941400900000,-58.472949117299997,0, ,1,0
,1080, ,Tronador - Villa Ortúzar, ,-34.584319159000003,-58.465676307599999,0, ,1,0
,1081, ,Federico Lacroze, ,-34.587565207899999,-58.454097211399997,0, ,1,0
,1082, ,Dorrego, ,-34.591692697399999,-58.447618335500003,0, ,1,0
,1083, ,Ángel Gallardo, ,-34.602156515799997,-58.431022167099997,0, ,1,0
